clientes;status;genero;compras;regiao;pagto;qtde;pedido;amostras
1;0;0;1;1;1;2;400;Treino
2;0;0;1;0;1;1;1000;Treino
3;0;0;1;0;1;1;100;Treino
4;0;1;1;0;1;1;200;Teste
5;0;0;1;0;1;5;500;Teste
6;1;0;2;0;1;2;400;Teste
7;0;0;1;0;0;1;100;Teste
8;1;0;2;0;1;2;400;Teste
9;0;0;8;0;1;2;500;Teste
10;0;1;1;0;1;2;200;Teste
11;0;0;1;0;1;1;200;Teste
12;0;0;1;1;1;1;400;Teste
13;1;0;2;0;1;1;100;Teste
14;1;0;2;1;1;1;100;Teste
15;1;0;1;0;1;2;300;Treino
16;0;0;1;1;1;1;300;Treino
17;0;0;1;1;1;1;400;Teste
18;1;0;1;0;1;1;300;Treino
19;0;0;3;0;1;4;900;Treino
20;0;0;2;0;1;1;200;Teste
21;1;0;1;0;1;1;400;Treino
22;0;0;14;0;0;4;2000;Treino
23;0;0;2;0;0;1;400;Teste
24;0;0;1;0;1;1;100;Teste
25;1;0;2;0;1;1;100;Treino
26;0;0;1;1;1;1;400;Teste
27;1;0;3;0;1;3;600;Teste
28;0;0;1;0;1;1;300;Treino
29;0;0;1;1;1;4;1000;Treino
30;0;0;1;0;1;1;200;Teste
31;0;0;7;0;1;1;300;Treino
32;0;0;1;1;1;1;1000;Treino
33;0;0;1;0;1;1;100;Treino
34;0;0;9;0;1;1;400;Treino
35;0;0;2;1;1;2;200;Treino
36;1;0;2;0;1;1;100;Teste
37;0;0;4;0;1;1;100;Treino
38;0;0;4;0;1;1;200;Teste
39;0;0;1;0;1;1;300;Treino
40;0;0;2;0;1;1;200;Treino
41;0;0;1;0;1;3;1000;Treino
42;1;1;1;0;1;1;90;Teste
43;0;0;1;0;1;1;300;Treino
44;0;0;1;0;1;1;200;Treino
45;0;0;2;0;1;1;300;Treino
46;0;0;2;1;1;1;100;Teste
47;0;0;7;0;1;1;200;Teste
48;1;0;9;0;1;1;300;Treino
49;0;0;5;0;1;1;600;Treino
50;0;0;1;0;1;2;200;Teste
51;0;0;1;0;1;1;100;Treino
52;0;0;1;0;1;1;100;Teste
53;1;0;2;1;1;4;1000;Treino
54;1;0;1;0;1;1;500;Teste
55;0;1;1;0;1;1;100;Teste
56;0;1;1;0;1;1;100;Treino
57;1;0;7;0;1;1;400;Teste
58;0;0;1;0;1;1;300;Treino
59;0;0;2;1;1;2;400;Teste
60;0;0;2;0;1;3;800;Treino
61;0;0;1;1;1;1;400;Teste
62;1;0;1;0;1;1;100;Treino
63;0;0;1;0;1;1;100;Teste
64;0;0;5;0;1;1;300;Teste
65;0;0;1;1;1;2;800;Treino
66;1;0;1;1;1;1;200;Teste
67;0;0;7;0;1;1;400;Teste
68;0;0;3;0;1;2;100;Teste
69;0;0;1;0;1;1;200;Teste
70;0;0;1;1;1;1;300;Teste
71;1;0;2;0;1;1;200;Treino
72;1;0;3;0;1;2;500;Treino
73;0;0;2;1;1;1;400;Treino
74;0;0;1;1;1;1;100;Teste
75;0;0;1;1;1;1;100;Treino
76;1;1;9;1;1;1;200;Teste
77;0;0;1;0;1;1;90;Treino
78;1;0;3;0;1;2;400;Teste
79;0;1;1;0;1;1;100;Treino
80;1;0;1;0;1;1;100;Teste
81;0;0;2;1;1;4;700;Treino
82;0;0;2;0;1;7;2000;Teste
83;1;0;2;0;1;4;1000;Treino
84;0;0;2;1;1;1;300;Treino
85;1;1;1;1;1;10;4000;Teste
86;0;0;1;1;1;3;1000;Treino
87;0;0;5;1;1;2;200;Teste
88;0;0;2;0;1;2;200;Teste
89;0;0;1;0;1;1;200;Treino
90;1;0;1;0;1;1;200;Teste
91;0;0;1;0;1;2;200;Treino
92;1;0;1;0;1;1;400;Teste
93;0;0;1;0;0;2;200;Treino
94;0;0;1;0;1;1;300;Teste
95;0;0;1;0;1;1;200;Teste
96;1;0;1;0;1;1;100;Teste
